"reino","filo","classe","ordem","familia","genero","especie","subespecie","nome_cientifico_anterior","autor","nome_comum","grupo","mesano_avaliacao","categoria","possivemente_extinta","criterio","justificativa","endemica_brasil","consta_em_lista_nacional_oficial","estado","regiao","bioma","bacia_hidrografica","unidade_de_conservacao_federal","unidade_de_conservacao_estadual","rppn","migratoria","tendencia_populacional","ameaca","uso","acao_conservacao","plano_de_acao","listas_e_convencoes","altitudeminmax","barimetriaminmax"
"Animalia","Chordata","Aves","Galliformes","Cracidae","Aburria","Aburria jacutinga","","Aburria jacutinga","(Spix, 1825)","jacutinga","Aves","06/2019","Em Perigo","","C2a(i)","Aburria jacutinga ocorre no nordeste da Argentina, sudeste do Paraguai e Brasil, originalmente da Bahia ao Rio Grande do Sul. Foi extinta em diversas áreas de sua distribuição, como no extremo sul da Bahia, em todo o Espírito Santo e no centro-oeste do Paraná. A partir de estimativas para a principal subpopulação existente em florestas montanhosas de São Paulo, infere-se que na população brasileira haja menos de 2.500 indivíduos maduros, sendo que há menos de 250 deles em cada subpopulação. Há declínio populacional continuado devido à caça e perda de qualidade de habitat. Dessa forma, A. jacutinga foi avaliada como Em Perigo (EN), pelo critério C2a(i)","Não","Sim","Mato Grosso do Sul, Minas Gerais, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo","|Centro-Oeste|Sudeste|Sul|","Cerrado, Mata Atlântica, Sistema Costeiro-Marinho","Sub-bacia Doce
Sub-bacia Grande
Sub-bacia Iguaçu
Sub-bacia Litoral RJ
Sub-bacia Litoral RJ SP
Sub-bacia Litoral SP
Sub-bacia Litoral SP PR SC
Sub-bacia Paraíba do Sul
Sub-bacia Paranapanema
Sub-bacia Paraná RH1
Sub-bacia Tietê","APA Bacia do Rio Paraíba do Sul, APA Cananéia-Iguape-Peruíbe, APA Guaraqueçaba, APA Petrópolis, PARNA da Serra da Bocaina, PARNA da Serra do Itajaí, PARNA da Serra dos Órgãos, PARNA de Itatiaia, PARNA Guaricana, PARNA Iguaçu, RESEX Mandirá","APA ILHA COMPRIDA, APA SERRA DO MAR, ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO MACACU, ÁREA DE PROTEÇÃO AMBIENTAL DO IRAÍ, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL DE GUARATUBA, ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS, PARQUE ESTADUAL CARLOS BOTELHO, PARQUE ESTADUAL DA ILHA DO CARDOSO, PARQUE ESTADUAL DA SERRA DO MAR, PARQUE ESTADUAL DA SERRA DO TABULEIRO, PARQUE ESTADUAL DE ILHABELA, PARQUE ESTADUAL DO RIO DOCE, PARQUE ESTADUAL DO TURVO, PARQUE ESTADUAL INTERVALES, PARQUE ESTADUAL SERRA DO BRIGADEIRO","RPPN Caetezal, RPPN Fazenda San Michele, RPPN Fazenda Silvo Agro-Pastoril Gonçalves, RPPN Morro do Curussu Mirim, RPPN Parque Ecológico ARTEX, RPPN Reserva Rizzieri, RPPN Sítio do Bananal, RPPN Sítio do Jacu","Não","Declinando","1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
3 - Produção energética e mineração
3.3 - Energia renovável
3.3.1 - Hidrelétricas
5 - Uso de recursos biológicos
5.1 - Caça e captura de animais terrestres ou marinhos
5.1.1 - Caça/captura intencional (a espécie é o alvo)
5.1.1.1 - Uso de subsistência/escambo local
5 - Uso de recursos biológicos
5.3 - Extração florestal
5.3.3 - Efeitos indiretos - subsistência/pequena escala","12 - Vestuário
acessório
1 - Alimentação humana","Implementação de áreas protegidas, Plano de Ação Nacional (PAN), Proteção de recursos/habitat, Reintrodução, Reprodução em cativeiro/propagação artificial, Restauração de habitat e processos naturais","Plano de Ação Nacional para a Conservação das Aves Ameaçadas do Bioma Mata Atlântica, Plano de Ação Nacional para a Conservação dos Galliformes","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Achiridae","Achirus","Achirus mucuri","","Achirus mucuri","Ramos, Ramos & Lopes, 2009","Linguado","Peixes Marinhos (ósseos)","12/2023","Em Perigo","","B1ab(iii,v)","Achirus mucuri é uma espécie demersal de pequeno porte, endêmica do Brasil, com registros de poucos exemplares em apenas três estuários do sul da Bahia, com extensão de ocorrência estimada em 2.378km². Estes estuários vêm sendo impactados pelo despejo de dejetos domésticos, da agropecuária e industriais (e.g. celulose), por construções de usinas hidrelétricas e assoreamentos diversos. Além disso, a atividade da pesca nestes estuários é bastante intensa, sendo que sua atividade pode levar a reduções drásticas na população de A. mucuri, que já deve ser relativamente pequena, sendo assim definidas 3 localizações. Em coletas mais recentes (2017) para levantamento da ictiofauna na mesma área do rio Mucuri onde a espécie foi registrada pela primeira vez, a espécie não foi observada, indicando possível declínio populacional. Considerando as informações levantadas, Achirus mucuri foi categorizada como Em Perigo (EN) sob o critério B1ab (iii,v)","Sim","Sim","Bahia","|Nordeste|","Sistema Costeiro-Marinho","","","","","Desconhecido","Desconhecida","11 - Mudanças e extremos climáticos
11.1 - Mudança/alteração de habitat
1 - Desenvolvimento residencial e comercial
1.2 - Áreas comerciais e industriais
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.4 - Pecuária em escala desconhecida
2 - Agropecuária e Aquacultura
2.4 - Aquacultura marinha e de água doce
2.4.3 - Aquacultura em escala desconhecida
5 - Uso de recursos biológicos
5.4 - Pesca e uso de recursos aquáticos
5.4.1 - Captura intencional - subsistência/pequena escala
5.4.1.4 - Armadilha
5.4.1.4.5 - Puçá
5 - Uso de recursos biológicos
5.4.1.5 - Arte caída
5.4.1.5.1 - Tarrafa
5 - Uso de recursos biológicos
5.4.5 - Captura indireta - subsistência/pequena escala
5.4.5.6 - Arrasto
5.4.5.6.1 - Arrasto simples
5 - Uso de recursos biológicos
5.4.5.6.2 - Arrasto duplo
5 - Uso de recursos biológicos
5.4.5.7 - Emalhe
5.4.5.7.1 - Emalhe de fundo
9 - Poluição
9.1 - Doméstica e urbana - escoamento de água
9.1.1 - Esgoto
9 - Poluição
9.1.2 - Escoamento urbano
9 - Poluição
9.2 - Industrial
9.2.4 - Tipo desconhecido","3 - Animais de estimação/ornamentais","","","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Reptilia","Squamata","Gymnophthalmidae","Acratosaura","Acratosaura spinosa","","Acratosaura spinosa","Rodrigues, Cassimiro, Freitas & Silva, 2009","Lagarto-espinhoso","Répteis","04/2021","Em Perigo","","B1ab(iii)","Acratosaura spinosa é endêmica do Brasil, conhecida dos campos rupestres de altitude da Serra do Sincorá, entre 997 e 1.250 metros de altitude, na região da Chapada Diamantina, município de Mucugê, no estado da Bahia. Sua extensão de ocorrência foi estimada em 512 km². A espécie possui hábitat específico e parece ocorrer em baixas densidades. A principal ameaça é o aumento da frequência e intensidade de incêndios na região, inclusive dentro do Parque Nacional da Chapada Diamantina, que afetam a espécie principalmente por provocarem alterações na vegetação nativa. As plantações de monoculturas no entorno com intenso uso de agrotóxicos são outra ameaça. Essa atividade e o aumento da frequência de incêndios, potencializado pelo intenso fluxo de turistas e ocupações no entorno do Parque, provocam declínio contínuo da qualidade do hábitat. Considerando os registros de ocorrência e os incêndios como principal ameaça, foram definidas três localizações. Portanto, Acratosaura spinosa foi avaliada como Em Perigo (EN), pelo critério B1ab(iii).","Sim","Não","Bahia","|Nordeste|","Caatinga","Sub-bacia Itapecuru-Paraguaçu","PARNA da Chapada Diamantina","","","","Desconhecida","2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida
6 - Distúrbios humanos
6.1 - Atividades recreacionais/turísticas
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios
7.1.1 - Aumento da frequência/intensidade de incêndios
9 - Poluição
9.3 - Agropecuária e florestal
9.3.3 - Herbicidas e pesticidas","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação da Herpetofauna do Nordeste - 2º ciclo, Plano de Ação Nacional para a Conservação dos Répteis e Anfíbios Ameaçados de Extinção na Serra do Espinhaço","","",""
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla camargoi","","Aegla camargoi","Buckup & Rossi, 1977","Egla","Invertebrados de Água Doce","10/2019","Em Perigo","","B1ab(iii)","Aegla camargoi é endêmica do Brasil, ocorrendo no Nordeste do Rio Grande do Sul (sub-bacia Rio Pelotas) e Planalto de Santa Catarina (sub-bacia do Rio Pelotas). A extensão de ocorrência (EOO) foi calculada em 3.085 km2 a partir da área do mínimo polígono convexo formado pelas microbacias onde a espécie já foi registrada. A expansão da pecuária e silvicultura, com a supressão da mata ciliar na região onde ocorre a espécie são as principais ameaças, que fragmentaram severamente a população e provocaram o declínio continuado da qualidade do habitat. Portanto, A. camargoi foi categorizada como Em Perigo (EN), considerando o critério B1ab(iii).","Sim","Sim","Rio Grande do Sul, Santa Catarina","|Sul|","Mata Atlântica","Sub-bacia Guaíba
Sub-bacia Litoral SP PR SC
Sub-bacia Uruguai Alto","","","","Não","Desconhecida","2 - Agropecuária e Aquacultura
2.2 - Silvicultura
2.2.3 - Plantações em escala desconhecida
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.4 - Pecuária em escala desconhecida","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação dos Peixes e Eglas da Mata Atlântica","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla franca","","Aegla franca","Schmitt, 1942","Egla","Invertebrados de Água Doce","04/2022","Em Perigo","","B1ab(iii)","Aegla franca é endêmica do Brasil, ocorrendo em córregos pertencentes à microbacia do rio Canoas, tributário do Rio Grande (Bacia do Alto Paraná), entre os municípios de Franca (SP) e Claraval (MG), na região Sudeste. A região de ocorrência da espécie é impactada por intensa atividade agropecuária. A extensão de ocorrência (EOO) foi calculada em 644 km². Expedições recentes em sua área de distribuição constataram perda da qualidade do habitat, levando à fragmentação e redução da população. Tendo isso em vista, A. franca foi categorizada como Em Perigo (EN) sob critério B1ab(iii).","Sim","Sim","Minas Gerais, São Paulo","|Sudeste|","Cerrado","Sub-bacia Grande","","","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial
1.2 - Áreas comerciais e industriais
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.4 - Pecuária em escala desconhecida
4 - Transportes e serviços de transmissão
4.1 - Estradas e ferrovias
9 - Poluição
9.3 - Agropecuária e florestal
9.3.1 - Acúmulo de nutrientes
9 - Poluição
9.3.3 - Herbicidas e pesticidas","","Educação e comunicação, Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação dos Peixes e Eglas da Mata Atlântica","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla georginae","","","Santos & Jara, 2013","Egla","Invertebrados de Água Doce","10/2019","Em Perigo","","B1ab(iii)","Aegla georginae é endêmica do Brasil, ocorrendo nos afluentes do Rio Jaguari, Bacia do Rio Uruguai, no estado do Rio Grande do Sul. A extensão de ocorrência (EOO) foi calculada em 397 km2 a partir da área do mínimo polígono convexo formado pelas microbacias onde a espécie já foi registrada. A região de ocorrência da espécie é impactada por intensa atividade agropecuária que resulta em perda da qualidade do habitat e fragmentação da população. Por essas razões, A. georginae foi categorizada como Em Perigo (EN) sob o critério B1ab(iii).","Sim","Não","Rio Grande do Sul","|Sul|","Mata Atlântica, Pampa","Sub-bacia Ibicuí","","","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida","","","","","",""
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla inermis","","Aegla inermis","Bond-Buckup & Buckup, 1994","Egla","Invertebrados de Água Doce","10/2019","Em Perigo","","B1ab(iii)","Aegla inermis é uma espécie endêmica do Brasil, distribuída no Rio Grande do Sul nos tributários das bacias do Rio Caí e dos Sinos. A extensão de ocorrência (EOO) foi calculada em 2.136 km2 a partir da área do mínimo polígono convexo formado pelas microbacias onde a espécie já foi registrada. A região de ocorrência da espécie é impactada por intensa atividade agropecuária e urbanização, que resultam em perda da qualidade do habitat e fragmentação da população. Por essas razões, A. inermis foi categorizada como Em Perigo (EN), pelo critério B1ab(iii).","Sim","Sim","Rio Grande do Sul","|Sul|","Mata Atlântica","Sub-bacia Guaíba","","ÁREA DE PROTEÇÃO AMBIENTAL DO BANHADO GRANDE","","Não","Desconhecida","2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida
4 - Transportes e serviços de transmissão
4.1 - Estradas e ferrovias
9 - Poluição
9.3 - Agropecuária e florestal
9.3.3 - Herbicidas e pesticidas","","Educação e comunicação, Plano de Ação Nacional (PAN), Proteção de locais/áreas","Plano de Ação Nacional para a Conservação dos Peixes e Eglas da Mata Atlântica","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla itacolomiensis","","Aegla itacolomiensis","Bond-Buckup & Buckup, 1994","Egla","Invertebrados de Água Doce","10/2019","Em Perigo","","B1ab(iii)","Aegla itacolomiensis é endêmica do Brasil e ocorre no leste do Rio Grande do Sul, nas sub-bacias do Gravataí e Sinos. A extensão de ocorrência (EOO) foi calculada em 3.094 km2 a partir da área do mínimo polígono convexo formado pelas microbacias onde a espécie já foi registrada. A região de ocorrência da espécie é impactada por intensa urbanização e atividade agropecuária que resultam em perda da qualidade do habitat e fragmentação da população. Por essas razões, A. itacolomiensis foi categorizada como Em Perigo (EN) sob o critério B1ab(iii).","Sim","Sim","Rio Grande do Sul","|Sul|","Mata Atlântica, Pampa","Sub-bacia Guaíba","","","","Não","Estável","1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida","","Plano de Ação Nacional (PAN), Proteção de locais/áreas","Plano de Ação Nacional para a Conservação dos Peixes e Eglas da Mata Atlântica","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla leachi","","Aegla leachi","Bond-Buckup & Santos, 2012","Egla","Invertebrados de Água Doce","10/2019","Em Perigo","","B1ab(iii)","Aegla leachi é endêmica do Brasil, ocorrendo nas sub-bacias dos Rios Canoas e Caveiras no estado de Santa Catarina. A extensão de ocorrência (EOO) foi calculada em 2.351 km2 a partir da área do mínimo polígono convexo formado pelas microbacias onde a espécie já foi registrada. A degradação do habitat e a fragmentação da população são provocadas pela silvicultura de larga escala, considerada a principal ameaça. Por essas razões, A. leachi foi categorizada como Em Perigo (EN) sob o critério B1ab(iii).","Sim","Sim","Santa Catarina","|Sul|","Mata Atlântica","Sub-bacia Uruguai Alto","","","","Não","Desconhecida","2 - Agropecuária e Aquacultura
2.2 - Silvicultura
2.2.2 - Plantações agro-industriais
7 - Modificações nos sistemas naturais
7.1 - Incêndios e supressão de incêndios
7.1.1 - Aumento da frequência/intensidade de incêndios","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação dos Peixes e Eglas da Mata Atlântica","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Arthropoda","Malacostraca","Decapoda","Aeglidae","Aegla","Aegla loyolai","","","Bond-Buckup & Santos, 2015","Egla","Invertebrados de Água Doce","09/2022","Em Perigo","","B1ab(iii)","Aegla loyolai é endêmica do Brasil, ocorrendo em apenas uma localidade, no Rio Pajanduvas, afluente do alto Rio Ivaí, em Prudentópolis, no Estado do Paraná. A extensão de ocorrência (EOO) foi calculada em 125 km2 a partir da área do mínimo polígono convexo formado pelas microbacias onde a espécie já foi registrada. Campanhas de coleta em 2005 e 2012, realizadas na região, não registraram a espécie em outras localidades. O único local em que a espécie foi registrada é impactado por granjas de galinha em ambas as margens do rio, com descarga de dejetos, caracterizando uma localização. Na região tem ocorrido supressão da vegetação nativa para plantação de Pinus spp. e urbanização, indicando um declínio contínuo na qualidade do habitat. Por essas razões, A. loyolai foi categorizada como Em Perigo (EN) pelo critério B1ab(iii).","Sim","Não","Paraná","|Sul|","Mata Atlântica","Sub-bacia Paraná RH1","","","","Não","Desconhecida","2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.2 - Pecuária em pequenas propriedades
9 - Poluição
9.3 - Agropecuária e florestal
9.3.1 - Acúmulo de nutrientes","","","","","",""
